DST0102*01  X220 000-032-029-029-032-037-038-040-041-040-034-028-029-026-025-026-021-016-012-011-009-011-012-013-014-025
DST0102*02  X220 000-018-021-022-020-019-018-018-017-017-013-006-005-009-009-008-007-007-008-006-008-009-010-009-009-012
DST0102*03  X220 000-008-006-005-005-003-002 000 000 000 001 001 001-002-003-006-004-003-002-003-002-003-003-002-001-003
DST0102*04  X220 000-003-004-004-002 001 004 005 005 006 007 008 007 007 009 008 009 007 003-001 000 001 004 007 008 004
DST0102*05  X220 000 006 006 006 007 007 008 011 012 014 012 009 010 011 010 009 009 012 014 013 014 015 014 014 010 011
DST0102*06  X220 000 015 015 021 021 018 023 022-006-031-024-020-013-007-008-008-005 000-005-011-007-002-005-003-005-001
DST0102*07  X220 000-003-004-008-008-006-005-008-012-015-016-010-001 001 000-004-006-009-009-010-007-006-005-002-001-006
DST0102*08  X220 000 001 000 000-001-007-011-009-008-010-012-008 000 007 009 010 011 010 006 003-003-007-003 003 007-001
DST0102*09  X220 000 008 010 012 011 013 015 013 008 005-001-002-003-007-006 001 004 002 002 003 002-003-005-001 002 003
DST0102*10  X220 000 004 004 006 009 009 009 009 006 000-002-008-008 000 004 004 001-005-007-001 002 000 000 002 003 002
DST0102*11  X220 000 004-002 000 005 003 004 002-006-009-007-008-011-007-004-005-003 001 004 007 009 007 008 008 009 000
DST0102*12  X220 000 003 003 006 006 006 007 010 010 010 007 006 009 010 009 006 003 007 004 006 011 010 008 007 005 007
DST0102*13  X220 000 013 005 006 008 012-009-016-008-014-021-026-017-010-005-004-008-007-007-011-018-039-050-046-045-013
DST0102*14  X220 000-043-041-043-043-041-041-040-040-039-035-035-035-031-029-022-028-034-034-025-027-027-027-032-029-034
DST0102*15  X220 000-026-022-020-021-022-022-020-023-022-022-022-020-018-014-011-011-008-004-003-007-008-010-012-012-016
DST0102*16  X220 000-011-009-009-009-010-009-006-006-006-005-005-005-005-004-006-006-004 000 004 003 001 001-001-002-005
DST0102*17  X220 000 000-001-003-005-004-003-005-006-005-004-007-005-003-001-001 000-001-002-005-004-007-009-010-007-004
DST0102*18  X220 000-005-003-001-001-003-002-003-003-003-002-001-002 000 004 004 003 003 005 009 012 011 008 006 004 002
DST0102*19  X220 000 005 011 015 012 007 006 001-001-004-008-014-010-007-001-004-001 000 002 000-001 001 005 008 010 001
DST0102*20  X220 000 012 013 017 015 011 006 005 006 007 002-005-011-009 001 004 001 002 003 009 007 007 007 006 004 005
DST0102*21  X220 000-001-006-007-007-008-007-011-017-017-020-019-015-008-003-001-001-003-001-002 000 000 000 005 008-006
DST0102*22  X220 000 011 012 014 013 009 006-001-005-006-003-002-002 001 003 002-002-003-002-002-002-006-012-017-020-001
DST0102*23  X220 000-021-016-004-005-008-012-012-016-026-028-032-031-023-013-017-020-015-008-003-001-006-009-007-004-014
DST0102*24  X220 000 000 003 004 003-001-002-002-003-004-003-005-009-009-010-007-008-007-004-002 000 001 001 002 003-002
